"","PlayerYID","fantasy.points","pos","Name","isPG","isSG","isSF","isPF","isC","cost"
"174","harride012018",473.269069671631,"PG","Devin Harris",1,0,0,0,0,1
"175","harriga012018",907.398313522339,"SG","Gary Harris",0,1,0,0,0,10
"176","harrijo012018",1060.99879264832,"SG","Joe Harris",0,1,0,0,0,14
"177","harrito022018",1650.58908081055,"PF","Tobias Harris",0,0,0,1,0,29
"178","harrian012018",313.71238899231,"PG","Andrew Harrison",1,0,0,0,0,1
"179","harrish012018",703.810237884521,"PG","Shaquille Harrison",1,0,0,0,0,5
"180","hartjo012018",775.798986434937,"SG","Josh Hart",0,1,0,0,0,7
"181","harteis012018",364.112301826477,"PF","Isaiah Hartenstein",0,0,0,1,0,1
"182","haywago012018",1068.37825775146,"PF","Gordon Hayward",0,0,0,1,0,14
"183","hensojo012018",702.4427318573,"C","John Henson",0,0,0,0,1,5
"184","hernaju012018",660.078353881836,"PF","Juan Hernangomez",0,0,0,1,0,4
"185","hernawi012018",821.568248748779,"C","Willy Hernangomez",0,0,0,0,1,8
"186","hezonma012018",754.832281112671,"SF","Mario Hezonja",0,0,1,0,0,9
"187","hieldbu012018",1416.72998809814,"SG","Buddy Hield",0,1,0,0,0,23
"188","hilarne012018",451.676089286804,"C","Nene Hilario",0,0,0,0,1,1
"189","hillge012018",669.258560180664,"PG","George Hill",1,0,0,0,0,4
"190","hillso012018",477.316025733948,"SF","Solomon Hill",0,0,1,0,0,2
"191","holidaa012018",518.939798355103,"PG","Aaron Holiday",1,0,0,0,0,1
"192","holidjr012018",1764.83491516113,"SG","Jrue Holiday",0,1,0,0,0,32
"193","holidju012018",881.089834213257,"SG","Justin Holiday",0,1,0,0,0,10
"194","holliro012018",822.15655708313,"SF","Rondae Hollis-Jefferson",0,0,1,0,0,10
"195","holmeri012018",964.551494598389,"C","Richaun Holmes",0,0,0,0,1,12
"196","hoodro012018",789.345170974731,"SG","Rodney Hood",0,1,0,0,0,7
"197","horfoal012018",1490.59955596924,"C","Al Horford",0,0,0,0,1,25
"198","houseda012018",794.591070175171,"SF","Danuel House",0,0,1,0,0,10
"199","huertke012018",887.19962310791,"SG","Kevin Huerter",0,1,0,0,0,10
"200","hutchch012018",644.008339881897,"SF","Chandler Hutchison",0,0,1,0,0,6
"201","ibakase012018",1424.18882751465,"C","Serge Ibaka",0,0,0,0,1,24
"202","iguodan012018",826.775281906128,"SF","Andre Iguodala",0,0,1,0,0,11
"203","ilyaser012018",662.963356018066,"PF","Ersan Ilyasova",0,0,0,1,0,4
"204","inglejo012018",1161.97832489014,"PF","Joe Ingles",0,0,0,1,0,17
"205","ingrabr012018",1301.09396934509,"SF","Brandon Ingram",0,0,1,0,0,23
"206","irvinky012018",1918.87457275391,"PG","Kyrie Irving",1,0,0,0,0,36
"207","isaacjo012018",1044.84357833862,"PF","Jonathan Isaac",0,0,0,1,0,14
"208","iwundwe012018",549.197130203247,"SF","Wesley Iwundu",0,0,1,0,0,3
"209","jacksfr012018",598.41698551178,"PG","Frank Jackson",1,0,0,0,0,2
"210","jacksja022018",1193.68918418884,"PF","Jaren Jackson",0,0,0,1,0,18
"211","jacksjo022018",942.656852722168,"SG","Josh Jackson",0,1,0,0,0,11
"212","jacksju012018",646.06178855896,"SF","Justin Jackson",0,0,1,0,0,6
"213","jacksre012018",1035.30442810059,"PG","Reggie Jackson",1,0,0,0,0,14
"214","jamesle012018",2213.4303817749,"SF","LeBron James",0,0,1,0,0,46
"215","jenkijo012018",332.545919418335,"SG","John Jenkins",0,1,0,0,0,1
"216","jerebjo012018",657.8869972229,"PF","Jonas Jerebko",0,0,0,1,0,4
"217","johnsam012018",460.747087478638,"C","Amir Johnson",0,0,0,0,1,1
"218","johnsja012018",687.391094207764,"PF","James Johnson",0,0,0,1,0,5
"219","johnsst042018",655.97235584259,"SF","Stanley Johnson",0,0,1,0,0,6
"220","johnsty012018",874.148843765259,"PG","Tyler Johnson",1,0,0,0,0,9
"221","johnswe012018",296.186247348785,"SF","Wesley Johnson",0,0,1,0,0,1
"222","jokicni012018",2224.10517120361,"C","Nikola Jokic",0,0,0,0,1,44
"223","jonesda032018",746.18462562561,"C","Damian Jones",0,0,0,0,1,6
"224","jonesde022018",774.829212188721,"SF","Derrick Jones",0,0,1,0,0,9
"225","jonesja042018",426.18391418457,"SF","Jalen Jones",0,0,1,0,0,1
"226","jonesty012018",857.477970123291,"PG","Tyus Jones",1,0,0,0,0,9
"227","jordade012018",1670.44376373291,"C","DeAndre Jordan",0,0,0,0,1,30
"228","josepco012018",807.202749252319,"PG","Cory Joseph",1,0,0,0,0,8
"229","kaminfr012018",720.228130340576,"C","Frank Kaminsky",0,0,0,0,1,5
"230","kanteen012018",1459.85111999512,"C","Enes Kanter",0,0,0,0,1,25
"231","kennalu012018",790.719011306763,"SG","Luke Kennard",0,1,0,0,0,7
"232","kiddgmi012018",714.278028488159,"PF","Michael Kidd-Gilchrist",0,0,0,1,0,5
"233","klebima012018",802.945314407349,"PF","Maxi Kleber",0,0,0,1,0,8
"234","knighbr032018",452.691493988037,"PG","Brandon Knight",1,0,0,0,0,1
"235","knoxke012018",815.465106964111,"PF","Kevin Knox",0,0,0,1,0,8
"236","korkmfu012018",549.281665802002,"SG","Furkan Korkmaz",0,1,0,0,0,1
"237","kornelu012018",681.024257659912,"PF","Luke Kornet",0,0,0,1,0,4
"238","korveky012018",575.995462417603,"SG-PF","Kyle Korver",0,1,0,1,0,2
"239","koufoko012018",528.900375366211,"C","Kosta Koufos",0,0,0,0,1,1
"240","kurucro012018",772.905225753784,"SF","Rodions Kurucs",0,0,1,0,0,9
"241","kuzmaky012018",1296.76263427734,"PF","Kyle Kuzma",0,0,0,1,0,20
"242","labissk012018",404.980845451355,"PF","Skal Labissiere",0,0,0,1,0,1
"243","lambje012018",1257.15336608887,"SG","Jeremy Lamb",0,1,0,0,0,19
"244","lavinza012018",1590.4122467041,"SG","Zach LaVine",0,1,0,0,0,28
"245","laymaja012018",709.178600311279,"SF","Jake Layman",0,0,1,0,0,8
"246","leaftj012018",479.18413734436,"PF","T.J. Leaf",0,0,0,1,0,1
"247","leeco012018",348.939647674561,"SG","Courtney Lee",0,1,0,0,0,1
"248","leeda032018",429.620978355408,"SG","Damion Lee",0,1,0,0,0,1
"249","lenal012018",1000.27705192566,"C","Alex Len",0,0,0,0,1,13
"250","leonaka012018",2000.19985198975,"SF","Kawhi Leonard",0,0,1,0,0,41
"251","leoname012018",688.649353027344,"C","Meyers Leonard",0,0,0,0,1,5
"252","leuerjo012018",403.983700752258,"PF","Jon Leuer",0,0,0,1,0,1
"253","leverca012018",1045.05480003357,"SF","Caris LeVert",0,0,1,0,0,16
"254","lillada012018",1883.70150756836,"PG","Damian Lillard",1,0,0,0,0,36
"255","linje012018",749.843976974487,"PG","Jeremy Lin",1,0,0,0,0,6
"256","livinsh012018",482.47793674469,"PG","Shaun Livingston",1,0,0,0,0,1
"257","looneke012018",960.861019134521,"C","Kevon Looney",0,0,0,0,1,12
"258","lopezbr012018",1160.67799377441,"C","Brook Lopez",0,0,0,0,1,17
"259","lopezro012018",844.846662521362,"C","Robin Lopez",0,0,0,0,1,9
"260","loveke012018",1457.06371307373,"PF","Kevin Love",0,0,0,1,0,24
